Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1983,17,0,1
192,2000,1983,17,0,2
288,2000,1983,17,0,3
384,2000,1983,17,0,4
480,2000,1983,17,0,5
576,2000,1983,17,0,6
672,2000,1983,17,0,7
768,2000,1983,17,0,8
864,2000,1983,17,0,9
960,2000,1983,17,0,10
1056,2000,1983,17,0,11
1152,2000,1983,17,0,12
1248,2000,1983,17,0,13
1344,2000,1983,17,0,14
1440,2000,1983,17,0,15
1536,2000,1983,17,0,16
1632,2000,1983,17,0,17
1728,2000,1983,17,0,18
1824,2000,1983,17,0,19
1920,2000,1983,17,0,20
2016,2000,1983,17,0,21
2112,2000,1983,17,0,22
2208,2000,1983,17,0,23
2304,2000,1983,17,0,24
2400,2000,1983,17,0,25
2496,2000,1983,17,0,26
2592,2000,1983,17,0,27
2688,2000,1983,17,0,28
2784,1983,1784,199,4,29
2880,1983,1783,200,0,30
2976,1983,1783,200,0,31
3072,1983,1783,200,0,32
3168,1983,1783,200,0,33
3264,1983,1783,200,0,34
3360,1983,1783,200,0,35
3456,1983,1783,200,0,36
3552,1983,1783,200,0,37
3648,1983,1783,200,0,38
3744,1983,1783,200,0,39
3840,1983,1783,200,0,40
3936,1983,1783,200,0,41
4032,1983,1783,200,0,42
4128,1983,1783,200,0,43
4224,1983,1783,200,0,44
4320,1983,1783,200,0,45
4416,1983,1783,200,0,46
4512,1983,1783,200,0,47
4608,1983,1783,200,0,48
4704,1983,1783,200,0,49
4800,1983,1783,200,0,50
4896,1983,1783,200,0,51
4992,1983,1783,200,0,52
5088,1983,1783,200,0,53
5184,1983,1783,200,0,54
5280,1983,1783,200,0,55
5376,1983,1783,200,0,56
5472,1784,480,1304,2848,57
5568,1783,319,1464,2325,58
5664,1783,248,1535,2066,59
5760,1783,198,1585,1889,60
5856,1783,169,1614,1762,61
5952,1783,151,1632,1703,62
6048,1783,132,1651,1643,63
6144,1783,119,1664,1599,64
6240,1783,103,1680,1555,65
6336,1783,96,1687,1524,66
6432,1783,87,1696,1483,67
6528,1783,83,1700,1466,68
6624,1783,75,1708,1438,69
6720,1783,64,1719,1412,70
6816,1783,57,1726,1380,71
6912,1783,51,1732,1370,72
7008,1783,45,1738,1350,73
7104,1783,42,1741,1333,74
7200,1783,39,1744,1322,75
7296,1783,39,1744,1312,76
7392,1783,38,1745,1294,77
