Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1974,26,0,1
192,2000,1974,26,0,2
288,2000,1974,26,0,3
384,2000,1974,26,0,4
480,2000,1974,26,0,5
576,2000,1974,26,0,6
672,2000,1974,26,0,7
768,2000,1974,26,0,8
864,2000,1974,26,0,9
960,2000,1974,26,0,10
1056,2000,1974,26,0,11
1152,2000,1974,26,0,12
1248,2000,1974,26,0,13
1344,2000,1974,26,0,14
1440,2000,1974,26,0,15
1536,2000,1974,26,0,16
1632,2000,1974,26,0,17
1728,2000,1974,26,0,18
1824,2000,1974,26,0,19
1920,2000,1974,26,0,20
2016,2000,1974,26,0,21
2112,2000,1974,26,0,22
2208,2000,1974,26,0,23
2304,2000,1974,26,0,24
2400,2000,1974,26,0,25
2496,2000,1974,26,0,26
2592,2000,1974,26,0,27
2688,2000,1974,26,0,28
2784,1974,1680,294,62,29
2880,1975,1664,311,3,30
2976,1976,1665,311,1,31
3072,1977,1666,311,0,32
3168,1978,1667,311,0,33
3264,1979,1668,311,0,34
3360,1980,1669,311,0,35
3456,1981,1670,311,0,36
3552,1981,1670,311,0,37
3648,1981,1670,311,0,38
3744,1981,1670,311,0,39
3840,1981,1670,311,0,40
3936,1981,1670,311,0,41
4032,1981,1670,311,0,42
4128,1981,1670,311,0,43
4224,1981,1670,311,0,44
4320,1981,1670,311,0,45
4416,1981,1670,311,0,46
4512,1981,1670,311,0,47
4608,1981,1670,311,0,48
4704,1981,1670,311,0,49
4800,1981,1670,311,0,50
4896,1981,1670,311,0,51
4992,1981,1670,311,0,52
5088,1981,1670,311,0,53
5184,1981,1670,311,0,54
5280,1981,1670,311,0,55
5376,1981,1670,311,0,56
5472,1687,164,1523,6255,57
5568,1670,56,1614,6508,58
5664,1670,28,1642,6378,59
5760,1670,17,1653,6333,60
5856,1670,12,1658,6324,61
5952,1670,8,1662,6317,62
6048,1670,4,1666,6310,63
6144,1670,2,1668,6307,64
6240,1670,0,1670,6300,65
6336,1670,0,1670,6300,66
6432,1670,0,1670,6300,67
6528,1670,0,1670,6300,68
6624,1670,0,1670,6300,69
6720,1670,0,1670,6300,70
6816,1670,0,1670,6300,71
6912,1670,0,1670,6300,72
7008,1670,0,1670,6300,73
7104,1670,0,1670,6300,74
7200,1670,0,1670,6300,75
7296,1670,0,1670,6300,76
7392,1670,0,1670,6300,77
